file	line_no	issue_type	matched_text	context
3_purana/sivap1_u.txt	17	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	177	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	451	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	573	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	679	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	823	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	949	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	1089	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	1187	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	1381	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	1551	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	1839	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	2019	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	2367	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	2559	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	2813	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	3291	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	3911	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	4573	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	4729	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	4999	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	5231	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	5381	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	5573	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap1_u.txt	6045	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap7_u.txt	11	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap7_u.txt	293	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap7_u.txt	431	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap7_u.txt	691	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap7_u.txt	799	manual_chapter	chapter	⟦chapter⟧
3_purana/sivap7_u.txt	1101	manual_chapter	chapter	⟦chapter⟧
